Satellite 1,Satellite 2,Distance
USA,FREJA,9858.163822863922
USA,TIMED,13100.101517679575
USA,CYGFM01,7124.143801659258
USA,UWE-4,3510.141864638549
USA,STARLINK-1191,3790.831078491617
USA,ASTROCAST-0101,6055.101540242496
USA,STARLINK-1979,2946.106899977661
USA,STARLINK-1655,3201.3223630533985
USA,STARLINK-2399,2401.2371169492026
USA,STARLINK-2637,1813.700104210689
USA,STARLINK-2648,5040.602947362973
USA,MANDRAKE,11044.847826042153
USA,STARLINK-3304,2610.01827390271
USA,STARLINK-3305,2041.8095816979824
USA,STARLINK-3245,2534.331336863538
USA,STARLINK-3291,2065.6890023394635
USA,ELSA-D,12250.397148873402
USA,STARLINK-3555,1991.0476425665493
USA,STARLINK-3504,3681.584923230188
USA,STARLINK-3813,3744.6029926036235
USA,STARLINK-4580,3783.8263471884666
USA,STARLINK-4636,2514.46704980837
USA,STARLINK-4652,2133.130234287343
USA,STARLINK-4656,2881.0408908969084
USA,STARLINK-5235,2625.5298544757106
USA,STARLINK-5387,11491.80248094153
USA,STARLINK-5084,11108.408286140502
USA,STARLINK-5310,12816.798830173377
USA,ONEWEB-0666,2405.135803922939
USA,STARLINK-6104,11903.18782906161
USA,GHOST-2,11399.62421474109
USA,STARLINK-30274,2089.141543540465
USA,STARLINK-30318,10976.706450592217
USA,YAOGAN-39,6128.668437465255
USA,STARLINK-30788,2840.7544741934557
USA,STARLINK-31092,11643.459494071529
USA,STARLINK-31326,4820.929866384972
USA,STARLINK-31716,2191.301557787823
USA,STARLINK-32096,11261.741912377294
USA,STARLINK-11155,4624.107951232771
USA,STARLINK-32022,1730.8597575240633
USA,STARLINK-32137,2081.656791015679
USA,STARLINK-11224,2449.145491790521
USA,ONEWEB-0687,1528.5298615905228
USA,STARLINK-32650,3779.1787521895503
USA,STARLINK-32631,11829.57268524509
USA,STARLINK-32712,2490.729150417052
USA,STARLINK-32720,4507.473281362936
USA,STARLINK-33597,997.32239844083
USA,STARLINK-33579,2743.535441935829
USA,STARLINK-33594,3254.1587605988952
USA,STARLINK-33585,2526.1658982556432
USA,STARLINK-32755,11686.98046385851
USA,STARLINK-32931,11371.038034432457
