src,dst,src_name,dst_name,start_I,finish_I,duration_intervals,pred,path_nodes
0,1,VANGUARD 2,VANGUARD 3,82.0,119.0,38.0,23.0,0->23->1
0,2,VANGUARD 2,EXPLORER 7,31.0,54.0,24.0,39.0,0->39->2
0,3,VANGUARD 2,TIROS 1,31.0,88.0,58.0,8.0,0->8->3
0,4,VANGUARD 2,TRANSIT 2A,44.0,73.0,30.0,54.0,0->54->4
0,5,VANGUARD 2,SOLRAD 1 (GREB),40.0,53.0,14.0,47.0,0->47->5
0,6,VANGUARD 2,COURIER 1B,31.0,64.0,34.0,8.0,0->8->6
0,7,VANGUARD 2,EXPLORER 11,44.0,89.0,46.0,4.0,0->54->4->7
0,8,VANGUARD 2,TRANSIT 4A,78.0,79.0,2.0,0.0,0->8
0,9,VANGUARD 2,SOLRAD 3/INJUN 1,82.0,106.0,25.0,23.0,0->23->9
0,10,VANGUARD 2,TIROS 3,,,,,
0,11,VANGUARD 2,TRANSIT 4B,40.0,115.0,76.0,17.0,0->8->14->17->11
0,12,VANGUARD 2,TRAAC,44.0,109.0,66.0,54.0,0->54->12
0,13,VANGUARD 2,TIROS 4,31.0,65.0,35.0,8.0,0->8->13
0,14,VANGUARD 2,TIROS 5,31.0,51.0,21.0,8.0,0->8->14
0,15,VANGUARD 2,FTV 3502,31.0,64.0,34.0,8.0,0->8->15
0,16,VANGUARD 2,TIROS 6,31.0,60.0,30.0,14.0,0->8->14->16
0,17,VANGUARD 2,ALOUETTE 1 (S-27),31.0,73.0,43.0,14.0,0->8->14->17
0,18,VANGUARD 2,ANNA 1B,40.0,64.0,25.0,47.0,0->47->18
0,19,VANGUARD 2,EXPLORER 16,31.0,85.0,55.0,16.0,0->8->14->16->19
0,20,VANGUARD 2,TRANSIT 5B-1,31.0,71.0,41.0,16.0,0->8->14->16->20
0,21,VANGUARD 2,RADIATION SAT (5E 1),31.0,59.0,29.0,22.0,0->39->22->21
0,22,VANGUARD 2,TRANSIT 5B-2,31.0,47.0,17.0,39.0,0->39->22
0,23,VANGUARD 2,TRANSIT 5E 3,81.0,82.0,2.0,0.0,0->23
0,24,VANGUARD 2,TIROS 8,44.0,82.0,39.0,50.0,0->54->50->24
0,25,VANGUARD 2,GGSE 1 (GGRS),44.0,85.0,42.0,4.0,0->54->4->25
0,26,VANGUARD 2,SECOR 1B,31.0,90.0,60.0,14.0,0->8->14->26
0,27,VANGUARD 2,SOLRAD 7A,44.0,107.0,64.0,4.0,0->54->4->27
0,28,VANGUARD 2,GREB,31.0,59.0,29.0,48.0,0->39->48->28
0,29,VANGUARD 2,OPS 3367 A,44.0,75.0,32.0,4.0,0->54->4->29
0,30,VANGUARD 2,OPS 3367 B,83.0,84.0,2.0,0.0,0->30
0,31,VANGUARD 2,OPS 4412 (TRANSIT 9),40.0,70.0,31.0,47.0,0->47->31
0,32,VANGUARD 2,OPS 4467 A,31.0,80.0,50.0,14.0,0->8->14->32
0,33,VANGUARD 2,OPS 4467 B,82.0,103.0,22.0,62.0,0->62->33
0,34,VANGUARD 2,EXPLORER 20,31.0,43.0,13.0,8.0,0->8->34
0,35,VANGUARD 2,COSMOS 44,31.0,89.0,59.0,39.0,0->39->35
0,36,VANGUARD 2,OPS 5798 (TRANSIT 5B-4),31.0,70.0,40.0,8.0,0->8->36
