0,1,2,3,4,5,6,7,8,9
0.0,4733.304425652049,inf,inf,inf,3542.496855484378,3993.330314006856,inf,2874.752575059414,inf
4733.304425652049,0.0,inf,3355.142692368952,inf,inf,3640.0976426605184,4994.198279373783,4137.0999619426175,3239.840406325472
inf,inf,0.0,inf,4086.512562331344,2921.0950020870564,inf,inf,inf,inf
inf,3355.142692368952,inf,0.0,inf,4266.673669316396,3036.3566366220894,inf,inf,inf
inf,inf,4086.512562331344,inf,0.0,inf,inf,inf,4776.81122722586,inf
3542.496855484378,inf,2921.0950020870564,4266.673669316396,inf,0.0,4516.079365941456,inf,inf,inf
3993.330314006856,3640.0976426605184,inf,3036.3566366220894,inf,4516.079365941456,0.0,inf,2722.4928195956686,inf
inf,4994.198279373783,inf,inf,inf,inf,inf,0.0,inf,4408.963152169038
2874.752575059414,4137.0999619426175,inf,inf,4776.81122722586,inf,2722.4928195956686,inf,0.0,4263.714198529539
inf,3239.840406325472,inf,inf,inf,inf,inf,4408.963152169038,4263.714198529539,0.0
