0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,inf,inf,inf,inf,inf,inf,inf,312.3268970888732,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,581.5018911651088,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,314.1188972540636,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,0.0,inf,inf,603.8044968780888,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,654.1659740784744,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,558.9700141844028,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,422.49055077866427,inf
inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,632.7864425031933,inf,434.4868728340318,inf,inf,inf,544.4116670300509,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,615.304146259864,inf,inf,inf,439.823901399869,inf,inf,inf,inf
inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,603.8044968780888,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,351.8342566190295,inf,inf,inf,inf,inf,624.7151487338327,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,0.0,inf,388.8525865983471,inf,inf,inf,inf,630.4736236270637,inf,540.4868548652157,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,361.0951525787278,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,368.0163042317113,inf,inf,inf,369.6300479765988,inf,inf,inf,inf,647.7907491778878,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
312.3268970888732,inf,inf,inf,inf,inf,388.8525865983471,inf,0.0,inf,inf,inf,inf,473.55675719005666,395.9889579439528,inf,inf,inf,inf,inf,inf,inf,inf,366.8170297606244,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,603.4853285572075,inf,inf,inf,inf,inf,638.3378706555279,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,544.7745481565196,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,470.5645192216232,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,426.3262606821684,inf,inf,inf,inf,inf,inf,516.6180674790178,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,632.7864425031933,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,629.0599071157162,inf,654.5432104218191,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,544.7745481565196,426.3262606821684,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,434.4868728340318,inf,inf,630.4736236270637,inf,473.55675719005666,inf,inf,inf,inf,0.0,inf,317.71230903260795,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,482.07189862207713,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,395.9889579439528,inf,inf,inf,inf,inf,0.0,inf,279.0171097572488,inf,inf,inf,inf,inf,inf,inf,inf,inf,615.8288842360324,inf,inf,inf,277.5504841454454,inf,489.2390089442373,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,351.8342566190295,540.4868548652157,inf,inf,inf,inf,629.0599071157162,inf,317.71230903260795,inf,0.0,inf,inf,inf,570.2674167213248,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,279.0171097572488,inf,0.0,inf,inf,556.1977845535548,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,626.2537671337059,555.954412280122,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,544.4116670300509,inf,inf,inf,inf,inf,inf,inf,654.5432104218191,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,412.4416972788141,544.6085479498786,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,385.5230754013046,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,489.7609379213893,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,516.6180674790178,inf,inf,inf,inf,570.2674167213248,556.1977845535548,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,368.0163042317113,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,506.6182330817506,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,527.2043430575342,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,624.7151487338327,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,263.00502880633707,inf,inf,inf,inf,inf,381.0914352009105,inf,620.0812084960929,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,412.4416972788141,inf,inf,inf,263.00502880633707,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,436.7794742822422,inf
581.5018911651088,inf,inf,inf,inf,inf,inf,inf,366.8170297606244,inf,inf,inf,inf,inf,inf,inf,inf,544.6085479498786,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,394.10746279717165,inf,inf,inf,inf,inf
